transaction_id,transaction_date,account_holder,account_receiver,transaction_amount,transaction_currency,transaction_type,transaction_status,card_type,transaction_description
8,2022-03-05,8,8,,EUR,PURCHASE,completed,MASTERCARD,curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien non mi integer ac
1,2022-09-25,1,1,8325.95,BYR,WITHDRAWAL,Failed,AMEX,nulla suscipit ligula in lacus curabitur at ipsum ac tellus semper interdum mauris ullamcorper purus
2,2022-02-23,2,2,3826.42,USD,DEPOSIT,Pending,VISA,nunc proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut
3,2022-03-19,3,3,8288.22,EUR,PURCHASE,failed,AMEX,convallis morbi odio odio elementum eu interdum eu tincidunt in leo maecenas pulvinar lobortis est phasellus sit amet
4,2022-08-29,4,4,7796.28,THB,PURCHASE,Completed,AMEX,rutrum nulla nunc purus phasellus in felis donec semper sapien a libero nam dui proin leo odio porttitor id consequat
5,2022-12-25,5,5,9722.87,PHP,PURCHASE,failed,AMEX,rutrum nulla nunc purus phasellus in felis donec semper sapien a
6,2022-08-06,6,6,2158.54,EUR,PURCHASE,Pending,VISA,ac tellus semper interdum mauris ullamcorper purus sit amet nulla quisque arcu libero rutrum ac
7,2022-08-06,7,7,8337.49,IDR,PURCHASE,completed,MASTERCARD,id luctus nec molestie sed justo pellentesque viverra pede ac diam cras
9,2022-05-06,9,9,3452.21,BRL,WITHDRAWAL,failed,AMEX,pede venenatis non sodales sed tincidunt eu felis fusce posuere felis sed lacus morbi sem mauris
10,2022-01-20,10,10,1265.87,PHP,WITHDRAWAL,completed,MASTERCARD,interdum mauris non ligula pellentesque ultrices phasellus id sapien in sapien iaculis congue vivamus metus
11,2022-11-29,11,11,5810.94,IDR,WITHDRAWAL,failed,MASTERCARD,primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi
12,2022-10-28,12,12,1984.23,VND,WITHDRAWAL,Pending,MASTERCARD,maecenas tincidunt lacus at velit vivamus vel nulla eget eros elementum pellentesque quisque porta volutpat
13,2022-04-28,13,13,5481.36,USD,WITHDRAWAL,Completed,VISA,eget orci vehicula condimentum curabitur in libero ut massa volutpat convallis morbi odio odio elementum eu interdum eu tincidunt in
14,2022-10-11,14,14,3589.73,EUR,PURCHASE,Failed,VISA,luctus tincidunt nulla mollis molestie lorem quisque ut erat curabitur gravida nisi at nibh in hac habitasse platea dictumst
15,2022-05-15,15,15,7192.13,UAH,PURCHASE,completed,MASTERCARD,nam congue risus semper porta volutpat quam pede lobortis ligula sit amet eleifend pede libero quis orci nullam molestie
16,2022-09-26,16,16,5680.63,COP,DEPOSIT,completed,AMEX,luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet
17,2022-03-21,17,17,7081.86,UAH,WITHDRAWAL,Pending,AMEX,sociis natoque penatibus et magnis dis parturient montes nascetur ridiculus mus etiam
18,2022-04-19,18,18,7957.91,CZK,WITHDRAWAL,failed,VISA,amet sem fusce consequat nulla nisl nunc nisl duis bibendum felis sed interdum venenatis turpis enim blandit
19,2022-12-14,19,19,3524.82,COP,DEPOSIT,pending,MASTERCARD,duis consequat dui nec nisi volutpat eleifend donec ut dolor morbi vel lectus in quam fringilla rhoncus
20,2022-10-03,20,20,4957.96,VND,DEPOSIT,pending,AMEX,duis mattis egestas metus aenean fermentum donec ut mauris eget massa tempor convallis nulla neque libero convallis eget eleifend luctus
21,2022-06-27,21,21,4793.74,EUR,WITHDRAWAL,completed,VISA,ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor sollicitudin mi sit amet lobortis sapien sapien
22,2022-04-09,22,22,2779.88,DOP,PURCHASE,failed,AMEX,cursus vestibulum proin eu mi nulla ac enim in tempor turpis nec euismod scelerisque quam
23,2022-03-05,23,23,5014.4,EUR,PURCHASE,pending,AMEX,ac neque duis bibendum morbi non quam nec dui luctus rutrum nulla
24,2022-01-06,24,24,7202.95,PLN,PURCHASE,Completed,VISA,risus auctor sed tristique in tempus sit amet sem fusce consequat nulla nisl nunc
25,2022-04-08,25,25,1772.76,SLL,PURCHASE,Failed,MASTERCARD,justo in blandit ultrices enim lorem ipsum dolor sit amet consectetuer adipiscing elit proin interdum mauris non ligula pellentesque ultrices
26,2022-05-19,26,26,4254.39,CNY,WITHDRAWAL,Failed,MASTERCARD,vel augue vestibulum rutrum rutrum neque aenean auctor gravida sem praesent
27,2022-06-23,27,27,8490.41,EUR,DEPOSIT,completed,VISA,montes nascetur ridiculus mus vivamus vestibulum sagittis sapien cum sociis natoque penatibus
28,2022-11-27,28,28,5002.08,NGN,WITHDRAWAL,Pending,VISA,donec odio justo sollicitudin ut suscipit a feugiat et eros vestibulum ac est lacinia nisi venenatis tristique fusce congue
29,2022-03-06,29,29,4770.79,GTQ,DEPOSIT,Pending,AMEX,blandit nam nulla integer pede justo lacinia eget tincidunt eget
30,2022-03-01,30,30,3816.82,IDR,PURCHASE,failed,VISA,sit amet turpis elementum ligula vehicula consequat morbi a ipsum integer a nibh in quis justo maecenas
31,2022-01-18,31,31,5252.46,PHP,DEPOSIT,Failed,VISA,quisque id justo sit amet sapien dignissim vestibulum vestibulum ante ipsum primis
32,2022-02-05,32,32,1555.85,CDF,PURCHASE,Completed,MASTERCARD,proin at turpis a pede posuere nonummy integer non velit donec diam neque vestibulum eget vulputate ut ultrices vel
33,2022-07-17,33,33,571.55,IDR,DEPOSIT,completed,VISA,ultrices vel augue vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae
34,2022-05-23,34,34,9942.27,CNY,WITHDRAWAL,failed,AMEX,volutpat sapien arcu sed augue aliquam erat volutpat in congue etiam justo etiam pretium iaculis justo in hac habitasse
35,2022-07-14,35,35,4121.18,VND,PURCHASE,Completed,AMEX,nulla justo aliquam quis turpis eget elit sodales scelerisque mauris sit amet eros suspendisse
36,2022-06-30,36,36,2885.58,NGN,WITHDRAWAL,Failed,VISA,felis sed interdum venenatis turpis enim blandit mi in porttitor pede justo eu massa donec dapibus duis at velit eu
37,2022-10-06,37,37,6601.28,ZAR,PURCHASE,Completed,AMEX,duis bibendum morbi non quam nec dui luctus rutrum nulla
38,2022-07-09,38,38,,PHP,PURCHASE,Pending,MASTERCARD,risus dapibus augue vel accumsan tellus nisi eu orci mauris lacinia sapien quis libero nullam sit amet turpis elementum
39,2022-05-06,39,39,9619.49,UAH,DEPOSIT,Completed,AMEX,proin eu mi nulla ac enim in tempor turpis nec
40,2022-03-17,40,40,1699.73,PGK,PURCHASE,pending,VISA,ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia curae donec pharetra magna vestibulum aliquet ultrices erat tortor
41,2022-08-26,41,41,2965.34,EUR,DEPOSIT,completed,MASTERCARD,in hac habitasse platea dictumst maecenas ut massa quis augue luctus tincidunt nulla mollis molestie
